Row,Error,Row Data
2,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 23:58:59', 'USERNAME': 'rahmathidayat', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 23:59:18', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 25}"
3,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 23:54:25', 'USERNAME': 'yann12345', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 23:55:50', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
4,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 23:53:57', 'USERNAME': 'jojo03', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 23:54:14', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 150}"
5,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 23:51:15', 'USERNAME': 'ceng7890', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 23:54:12', 'PROCESS BY': 'xpukul69', 'AMOUNT': 100}"
6,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 23:49:54', 'USERNAME': 'fathaaliyah21', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 23:53:44', 'PROCESS BY': 'xpukul69', 'AMOUNT': 19}"
7,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 23:51:05', 'USERNAME': 'ndeyeh12', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 23:52:11', 'PROCESS BY': 'xpukul69', 'AMOUNT': 100}"
8,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 23:51:17', 'USERNAME': 'lutung99', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 23:51:55', 'PROCESS BY': 'xpukul69', 'AMOUNT': 25}"
9,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 23:50:30', 'USERNAME': 'rrrrrr12345', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 23:51:36', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
10,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 23:48:10', 'USERNAME': 'r9bold', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 23:49:31', 'PROCESS BY': 'xpukul69', 'AMOUNT': 98}"
11,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 23:45:50', 'USERNAME': 'bold12346', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 23:46:17', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 50}"
