Row,Error,Row Data
12,Invalid date format for CREATE DATE at row 12: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
13,Invalid date format for CREATE DATE at row 13: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
14,Invalid date format for CREATE DATE at row 14: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
15,Invalid date format for CREATE DATE at row 15: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
16,Invalid date format for CREATE DATE at row 16: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
17,Invalid date format for CREATE DATE at row 17: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
18,Invalid date format for CREATE DATE at row 18: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
19,Invalid date format for CREATE DATE at row 19: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
20,Invalid date format for CREATE DATE at row 20: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
21,Invalid date format for CREATE DATE at row 21: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
22,Invalid date format for CREATE DATE at row 22: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
23,Invalid date format for CREATE DATE at row 23: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
24,Invalid date format for CREATE DATE at row 24: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
